data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
"2018-01-30 10:00:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.0
"2018-01-31 10:30:00","Badlands",ACTION,"Terrence Malick",1973,94,6,8.5
"2018-02-01 10:30:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,8.0
"2018-02-02 10:30:00","Secrets & Lies",COMEDY,"Mike Leigh",1996,136,0,8.0
"2018-02-03 10:30:00","The Last Emperor",BIOGRAPHY,"Bernardo Bertolucci",1987,163,0,7.0
"2018-02-03 14:00:00","The Day the Earth Stood Still",DRAMA,"Robert Wise",1951,92,0,8.5
"2018-02-03 16:30:00","Badlands",ACTION,"Terrence Malick",1973,94,6,7.0
"2018-02-04 10:00:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,8.0
"2018-02-04 13:00:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,8.5
"2018-02-04 16:30:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,8.0
"2018-02-04 19:00:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,9.0
"2018-02-05 10:30:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,8.5
"2018-02-06 10:30:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,6.5
"2018-02-06 13:00:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,6.5
"2018-02-06 15:30:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,7.0
"2018-02-07 10:00:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,6.5
"2018-02-07 16:30:00","Ba wang bie ji",DRAMA,"Kaige Chen",1993,171,16,7.5
"2018-02-08 10:00:00","American History X",DRAMA,"Tony Kaye",1998,119,16,8.5
"2018-02-08 12:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.0
"2018-02-08 15:30:00","Secrets & Lies",COMEDY,"Mike Leigh",1996,136,0,8.5
"2018-02-09 10:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,7.5
"2018-02-09 13:30:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.0
"2018-02-10 10:00:00","The Day the Earth Stood Still",DRAMA,"Robert Wise",1951,92,0,7.0
"2018-02-10 12:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,8.0
"2018-02-10 15:00:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,8.0
"2018-02-11 10:30:00","A Man for All Seasons",BIOGRAPHY,"Fred Zinnemann",1966,120,0,8.5
"2018-02-11 13:30:00","The Naked Gun: From the Files of Police Squad!",COMEDY,"David Zucker",1988,85,0,6.5
"2018-02-11 15:30:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,7.0
"2018-02-12 10:30:00","Stalker",DRAMA,"Andrei Tarkovsky",1979,162,0,7.0
"2018-02-13 10:30:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,7.0
"2018-02-13 13:30:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,6.5
"2018-02-14 10:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,8.5
"2018-02-14 13:00:00","Sherlock Jr.",ACTION,"Buster Keaton",1924,45,12,7.5
"2018-02-15 10:00:00","Hiroshima mon amour",DRAMA,"Alain Resnais",1959,90,12,8.5
"2018-02-15 12:30:00","Ba wang bie ji",DRAMA,"Kaige Chen",1993,171,16,8.0
"2018-02-16 10:30:00","Sherlock Jr.",ACTION,"Buster Keaton",1924,45,12,6.5
"2018-02-16 12:00:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,8.5
"2018-02-16 14:30:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,6.5
"2018-02-17 10:30:00","Hiroshima mon amour",DRAMA,"Alain Resnais",1959,90,12,6.5
"2018-02-17 13:00:00","Platoon",DRAMA,"Oliver Stone",1986,120,12,8.5
"2018-02-17 16:00:00","Secrets & Lies",COMEDY,"Mike Leigh",1996,136,0,8.5
"2018-02-18 10:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,6.5
"2018-02-18 13:00:00","Platoon",DRAMA,"Oliver Stone",1986,120,12,8.0
"2018-02-18 16:00:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,6.5
"2018-02-19 10:00:00","Key Largo",ACTION,"John Huston",1948,100,12,7.5
"2018-02-20 10:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,6.5
"2018-02-21 10:00:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,6.5
"2018-02-21 12:30:00","Ba wang bie ji",DRAMA,"Kaige Chen",1993,171,16,8.5
"2018-02-21 16:00:00","Hiroshima mon amour",DRAMA,"Alain Resnais",1959,90,12,7.0
"2018-02-22 10:00:00","Koe no katachi",ANIMATION,"Naoko Yamada",2016,130,12,7.5
"2018-02-22 13:00:00","Secrets & Lies",COMEDY,"Mike Leigh",1996,136,0,7.0
"2018-02-22 16:00:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,8.5
"2018-02-23 10:30:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,8.5
"2018-02-24 10:30:00","Kimi no na wa.",ANIMATION,"Makoto Shinkai",2016,106,0,7.0
"2018-02-24 13:00:00","Badlands",ACTION,"Terrence Malick",1973,94,6,8.5
"2018-02-24 15:30:00","The Apartment",COMEDY,"Billy Wilder",1960,125,0,7.0
"2018-02-25 10:30:00","Kimi no na wa.",ANIMATION,"Makoto Shinkai",2016,106,0,6.5
"2018-02-25 13:00:00","Koe no katachi",ANIMATION,"Naoko Yamada",2016,130,12,6.5
"2018-02-25 16:00:00","Ba wang bie ji",DRAMA,"Kaige Chen",1993,171,16,7.0
"2018-02-26 10:00:00","Kind Hearts and Coronets",COMEDY,"Robert Hamer",1949,106,0,6.5
"2018-02-26 13:00:00","What's Eating Gilbert Grape",DRAMA,"Lasse Hallström",1993,118,0,8.0
"2018-02-27 10:00:00","American History X",DRAMA,"Tony Kaye",1998,119,16,8.5
"2018-02-27 13:00:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,7.0
"2018-02-28 10:00:00","Terminator 2: Judgment Day",ACTION,"James Cameron",1991,137,0,8.0
"2018-02-28 13:00:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,8.5
"2018-03-01 10:30:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,8.0
"2018-03-01 13:00:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,6.5
"2018-03-01 15:00:00","Terminator 2: Judgment Day",ACTION,"James Cameron",1991,137,0,7.0
"2018-03-02 10:00:00","Kind Hearts and Coronets",COMEDY,"Robert Hamer",1949,106,0,7.5
"2018-03-02 12:30:00","Badlands",ACTION,"Terrence Malick",1973,94,6,8.0
"2018-03-03 10:00:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,8.0
"2018-03-03 12:30:00","Hiroshima mon amour",DRAMA,"Alain Resnais",1959,90,12,7.0
"2018-03-03 14:30:00","Terminator 2: Judgment Day",ACTION,"James Cameron",1991,137,0,6.5
"2018-03-04 10:00:00","Escape from Alcatraz",ACTION,"Don Siegel",1979,112,12,6.5
"2018-03-04 12:30:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,7.0
"2018-03-04 15:00:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,8.0
"2018-03-05 10:00:00","The Dirty Dozen",ACTION,"Robert Aldrich",1967,150,12,7.0
"2018-03-05 13:30:00","Patton",BIOGRAPHY,"Franklin J. Schaffner",1970,172,0,8.5
"2018-03-06 10:30:00","The Last Emperor",BIOGRAPHY,"Bernardo Bertolucci",1987,163,0,6.5
"2018-03-07 10:30:00","Midnight Cowboy",DRAMA,"John Schlesinger",1969,113,12,8.0
"2018-03-07 13:00:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,8.5
"2018-03-07 15:30:00","Patton",BIOGRAPHY,"Franklin J. Schaffner",1970,172,0,8.0
"2018-03-08 10:30:00","Sherlock Jr.",ACTION,"Buster Keaton",1924,45,12,8.5
"2018-03-08 12:00:00","What Ever Happened to Baby Jane?",DRAMA,"Robert Aldrich",1962,134,12,6.5
"2018-03-08 15:00:00","Ba wang bie ji",DRAMA,"Kaige Chen",1993,171,16,7.5
"2018-03-09 10:30:00","The Apartment",COMEDY,"Billy Wilder",1960,125,0,8.0
"2018-03-09 13:30:00","Badlands",ACTION,"Terrence Malick",1973,94,6,6.5
"2018-03-09 16:00:00","Kind Hearts and Coronets",COMEDY,"Robert Hamer",1949,106,0,7.0
"2018-03-10 10:00:00","Kind Hearts and Coronets",COMEDY,"Robert Hamer",1949,106,0,8.0
"2018-03-10 12:30:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,7.5
"2018-03-10 15:30:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,7.5
"2018-03-11 10:30:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,7.0
"2018-03-11 13:00:00","Indiana Jones and the Last Crusade",ACTION,"Steven Spielberg",1989,127,0,8.0
"2018-03-11 16:00:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,8.5
"2018-03-12 10:30:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,8.5
"2018-03-12 13:30:00","Midnight Cowboy",DRAMA,"John Schlesinger",1969,113,12,7.0
"2018-03-12 16:00:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,7.5
"2018-03-13 10:00:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,8.0
"2018-03-13 12:30:00","Midnight Cowboy",DRAMA,"John Schlesinger",1969,113,12,7.5
"2018-03-14 10:30:00","Hiroshima mon amour",DRAMA,"Alain Resnais",1959,90,12,7.5
"2018-03-14 13:00:00","What Ever Happened to Baby Jane?",DRAMA,"Robert Aldrich",1962,134,12,6.5
"2018-03-15 10:30:00","Indiana Jones and the Last Crusade",ACTION,"Steven Spielberg",1989,127,0,8.5
"2018-03-15 13:30:00","Kimi no na wa.",ANIMATION,"Makoto Shinkai",2016,106,0,7.0
"2018-03-15 16:00:00","The Apartment",COMEDY,"Billy Wilder",1960,125,0,8.5
"2018-03-16 10:30:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,8.0
"2018-03-16 13:00:00","American History X",DRAMA,"Tony Kaye",1998,119,16,8.5
"2018-03-16 15:30:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,8.5
"2018-03-17 10:30:00","La haine",CRIME,"Mathieu Kassovitz",1995,98,12,8.0
"2018-03-17 13:00:00","Kind Hearts and Coronets",COMEDY,"Robert Hamer",1949,106,0,8.5
"2018-03-17 16:00:00","Guardians of the Galaxy Vol. 2",ACTION,"James Gunn",2017,136,12,7.5
"2018-03-17 19:00:00","Key Largo",ACTION,"John Huston",1948,100,12,9.0
"2018-03-18 10:00:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,7.0
"2018-03-18 12:30:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,7.0
"2018-03-18 15:00:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,8.0
"2018-03-19 10:00:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,8.5
"2018-03-19 13:00:00","Sherlock Jr.",ACTION,"Buster Keaton",1924,45,12,7.0
"2018-03-19 14:30:00","On the Waterfront",CRIME,"Elia Kazan",1954,108,12,8.0
"2018-03-20 10:00:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,6.5
"2018-03-20 12:30:00","Mary Poppins",COMEDY,"Robert Stevenson",1964,139,0,8.5
"2018-03-21 10:00:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,8.5
"2018-03-22 10:30:00","Das Boot",ADVENTURE,"Wolfgang Petersen",1981,149,16,8.5
"2018-03-22 13:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,8.5
"2018-03-23 10:00:00","Hana-bi",CRIME,"Takeshi Kitano",1997,103,12,6.5
"2018-03-23 12:30:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,8.0
"2018-03-23 15:00:00","Ayla: The Daughter of War",BIOGRAPHY,"Can Ulkay",2017,125,12,8.5
"2018-03-24 10:00:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,6.5
"2018-03-24 12:30:00","Rosemary's Baby",DRAMA,"Roman Polanski",1968,137,12,8.0
"2018-03-24 15:30:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,6.5
"2018-03-24 18:00:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,9.5
"2018-03-25 10:00:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,7.0
"2018-03-25 13:00:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,7.0
"2018-03-25 15:30:00","Terminator 2: Judgment Day",ACTION,"James Cameron",1991,137,0,7.5
"2018-03-26 10:00:00","Midnight Cowboy",DRAMA,"John Schlesinger",1969,113,12,7.5
"2018-03-26 12:30:00","Stalker",DRAMA,"Andrei Tarkovsky",1979,162,0,7.0
"2018-03-27 10:00:00","Rosemary's Baby",DRAMA,"Roman Polanski",1968,137,12,8.0
"2018-03-27 13:00:00","Patton",BIOGRAPHY,"Franklin J. Schaffner",1970,172,0,7.5
"2018-03-28 10:00:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,8.0
"2018-03-28 13:00:00","Underground",COMEDY,"Emir Kusturica",1995,170,12,7.5
"2018-03-29 10:30:00","Tôkyô monogatari",DRAMA,"Yasujirô Ozu",1953,136,0,8.0
"2018-03-29 13:30:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,7.0
"2018-03-29 16:00:00","Rosemary's Baby",DRAMA,"Roman Polanski",1968,137,12,7.0
"2018-03-30 10:00:00","Das Boot",ADVENTURE,"Wolfgang Petersen",1981,149,16,7.0
"2018-03-30 13:30:00","Ayla: The Daughter of War",BIOGRAPHY,"Can Ulkay",2017,125,12,7.0
"2018-03-30 16:30:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,7.0
"2018-03-31 10:00:00","Indiana Jones and the Last Crusade",ACTION,"Steven Spielberg",1989,127,0,8.5
"2018-03-31 13:00:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,6.5
"2018-03-31 15:30:00","The Killing Fields",BIOGRAPHY,"Roland Joffé",1984,141,12,7.0
"2018-03-31 18:30:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,9.0
"2018-04-01 10:00:00","La haine",CRIME,"Mathieu Kassovitz",1995,98,12,6.5
"2018-04-01 12:30:00","Terminator 2: Judgment Day",ACTION,"James Cameron",1991,137,0,8.0
"2018-04-01 16:00:00","The Killing Fields",BIOGRAPHY,"Roland Joffé",1984,141,12,7.5
"2018-04-01 19:00:00","Red River",ACTION,"Howard Hawks",1948,133,12,9.0
"2018-04-02 10:30:00","Ayla: The Daughter of War",BIOGRAPHY,"Can Ulkay",2017,125,12,8.5
"2018-04-03 10:00:00","Butch Cassidy and the Sundance Kid",BIOGRAPHY,"George Roy Hill",1969,110,6,7.5
"2018-04-04 10:00:00","Red River",ACTION,"Howard Hawks",1948,133,12,8.5
"2018-04-04 13:00:00","Mary Poppins",COMEDY,"Robert Stevenson",1964,139,0,7.0
"2018-04-05 10:30:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,8.5
"2018-04-06 10:00:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,7.5
"2018-04-06 12:30:00","La haine",CRIME,"Mathieu Kassovitz",1995,98,12,8.5
"2018-04-06 15:00:00","Guardians of the Galaxy Vol. 2",ACTION,"James Gunn",2017,136,12,7.0
"2018-04-07 10:30:00","Red River",ACTION,"Howard Hawks",1948,133,12,8.5
"2018-04-07 13:30:00","Ayla: The Daughter of War",BIOGRAPHY,"Can Ulkay",2017,125,12,7.5
"2018-04-07 16:30:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,8.5
"2018-04-07 19:00:00","Sweet Smell of Success",DRAMA,"Alexander Mackendrick",1957,96,12,9.0
"2018-04-08 10:00:00","Kimi no na wa.",ANIMATION,"Makoto Shinkai",2016,106,0,8.5
"2018-04-08 12:30:00","Kimi no na wa.",ANIMATION,"Makoto Shinkai",2016,106,0,6.5
"2018-04-08 15:00:00","Sing Street",COMEDY,"John Carney",2016,106,12,7.0
"2018-04-08 17:30:00","Ayla: The Daughter of War",BIOGRAPHY,"Can Ulkay",2017,125,12,8.5
"2018-04-09 10:00:00","Il postino",BIOGRAPHY,"Michael Radford",1994,108,0,8.5
"2018-04-09 12:30:00","Midnight Cowboy",DRAMA,"John Schlesinger",1969,113,12,6.5
"2018-04-09 15:00:00","M.S. Dhoni: The Untold Story",BIOGRAPHY,"Neeraj Pandey",2016,184,0,8.0
"2018-04-10 10:00:00","Platoon",DRAMA,"Oliver Stone",1986,120,12,8.5
"2018-04-11 10:30:00","Du rififi chez les hommes",CRIME,"Jules Dassin",1955,118,12,7.0
"2018-04-12 10:30:00","Harold and Maude",COMEDY,"Hal Ashby",1971,91,6,7.5
"2018-04-13 10:00:00","Guardians of the Galaxy Vol. 2",ACTION,"James Gunn",2017,136,12,8.5
"2018-04-13 13:00:00","Butch Cassidy and the Sundance Kid",BIOGRAPHY,"George Roy Hill",1969,110,6,8.5
"2018-04-13 16:00:00","Patton",BIOGRAPHY,"Franklin J. Schaffner",1970,172,0,7.0
"2018-04-14 10:00:00","Miller's Crossing",CRIME,"Joel Coen",1990,115,16,7.5
"2018-04-14 13:00:00","Jaws",ADVENTURE,"Steven Spielberg",1975,124,12,8.0
"2018-04-14 16:00:00","La haine",CRIME,"Mathieu Kassovitz",1995,98,12,7.5
"2018-04-14 18:30:00","La haine",CRIME,"Mathieu Kassovitz",1995,98,12,9.0
"2018-04-15 10:00:00","Miller's Crossing",CRIME,"Joel Coen",1990,115,16,8.0
"2018-04-15 13:00:00","Key Largo",ACTION,"John Huston",1948,100,12,7.5
"2018-04-15 15:30:00","Jaws",ADVENTURE,"Steven Spielberg",1975,124,12,8.0
"2018-04-16 10:30:00","Jaws",ADVENTURE,"Steven Spielberg",1975,124,12,8.5
"2018-04-16 13:30:00","The Deer Hunter",DRAMA,"Michael Cimino",1978,183,12,7.0
"2018-04-16 17:30:00","Jaws",ADVENTURE,"Steven Spielberg",1975,124,12,7.5
"2018-04-17 10:00:00","Indiana Jones and the Last Crusade",ACTION,"Steven Spielberg",1989,127,0,8.5
"2018-04-17 13:00:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,6.5
"2018-04-17 15:00:00","Manhattan",COMEDY,"Woody Allen",1979,96,16,6.5
"2018-04-18 10:30:00","Indiana Jones and the Last Crusade",ACTION,"Steven Spielberg",1989,127,0,8.0
"2018-04-18 13:30:00","Brief Encounter",DRAMA,"David Lean",1945,86,0,7.5
"2018-04-18 16:00:00","Rosemary's Baby",DRAMA,"Roman Polanski",1968,137,12,8.0
"2018-04-19 10:30:00","To Be or Not to Be",COMEDY,"Ernst Lubitsch",1942,99,12,8.0
"2018-04-19 13:00:00","Jaws",ADVENTURE,"Steven Spielberg",1975,124,12,8.0
"2018-04-19 16:00:00","The Innocents",HORROR,"Jack Clayton",1961,100,12,7.0
"2018-04-20 10:00:00","What Ever Happened to Baby Jane?",DRAMA,"Robert Aldrich",1962,134,12,6.5
"2018-04-21 10:00:00","Höstsonaten",DRAMA,"Ingmar Bergman",1978,99,0,7.0
"2018-04-21 12:30:00","Manhattan",COMEDY,"Woody Allen",1979,96,16,8.0
"2018-04-21 15:00:00","Miller's Crossing",CRIME,"Joel Coen",1990,115,16,7.5
"2018-04-22 10:30:00","Blood Simple",CRIME,"Joel Coen",1984,99,12,7.0
"2018-04-22 13:00:00","Airlift",DRAMA,"Raja Menon",2016,130,12,7.5
"2018-04-22 16:00:00","Höstsonaten",DRAMA,"Ingmar Bergman",1978,99,0,8.0
"2018-04-22 18:30:00","The Apartment",COMEDY,"Billy Wilder",1960,125,0,9.5
"2018-04-23 10:30:00","Blood Simple",CRIME,"Joel Coen",1984,99,12,7.0
"2018-04-23 13:00:00","The Lion King",ANIMATION,"Roger Allers",1994,88,0,6.5
"2018-04-24 10:00:00","Lost Highway",MYSTERY,"David Lynch",1997,134,12,7.5
"2018-04-24 13:00:00","The Innocents",HORROR,"Jack Clayton",1961,100,12,8.5
"2018-04-25 10:00:00","Batman: Mask of the Phantasm",ANIMATION,"Kevin Altieri",1993,76,6,8.5
"2018-04-25 12:00:00","Airlift",DRAMA,"Raja Menon",2016,130,12,8.5
"2018-04-25 15:00:00","The Deer Hunter",DRAMA,"Michael Cimino",1978,183,12,7.0
